chr17	41277248	41277550
chr17	41276074	41276182
chr17	41275994	41276163
chr17	41267703	41267846
chr17	41258433	41258600
chr17	41256845	41257023
chr17	41256099	41256328
chr17	41251752	41251947
chr17	41249221	41249356
chr17	41247823	41247989
chr17	41243412	41246927
chr17	41242921	41243099
chr17	41234381	41234642
chr17	41228465	41228681
chr17	41226308	41226588
chr17	41222905	41223305
chr17	41219585	41219762
chr17	41215851	41216018
chr17	41215310	41215440
chr17	41209029	41209202
chr17	41203040	41203184
chr17	41201098	41201261
chr17	41199620	41199770
chr17	41197655	41197869
chr17	41196272	41197744
chr13	32889577	32889844
chr13	32890519	32890637
chr13	32890558	32890704
chr13	32893174	32893502
chr13	32899173	32899361
chr13	32900198	32900327
chr13	32900339	32900459
chr13	32900596	32900790
chr13	32903540	32903669
chr13	32905016	32905207
chr13	32906369	32907564
chr13	32910362	32915373
chr13	32918655	32918830
chr13	32920924	32921073
chr13	32928958	32929465
chr13	32930525	32930786
chr13	32931839	32932106
chr13	32936620	32936870
chr13	32937276	32937710
chr13	32944499	32944734
chr13	32945053	32945277
chr13	32950767	32950968
chr13	32953414	32953692
chr13	32953847	32954090
chr13	32954104	32954322
chr13	32968786	32969110
chr13	32970995	32971221
chr13	32972259	32972947
chr13	32972868	32973849
chr16	68771155	68771406
chr16	68772160	68772354
chr16	68835533	68835836
chr16	68842287	68842510
chr16	68842556	68842791
chr16	68844060	68844284
chr16	68845547	68845802
chr16	68845998	68846206
chr16	68847176	68847438
chr16	68849378	68849702
chr16	68853143	68853368
chr16	68855864	68856168
chr16	68857262	68857569
chr16	68862037	68862247
chr16	68863517	68863740
chr16	68867153	68867442
chr10	89623155	89624266
chr10	89624187	89624345
chr10	89653742	89653906
chr10	89685230	89685354
chr10	89690763	89690886
chr10	89692730	89693048
chr10	89711835	89712056
chr10	89717570	89717816
chr10	89720611	89720915
chr10	89725004	89725269
chr10	89725190	89728572
chr19	1205758	1206952
chr19	1206873	1207242
chr19	1218376	1218539
chr19	1219283	1219452
chr19	1220332	1220544
chr19	1220540	1220756
chr19	1221172	1221379
chr19	1221908	1222045
chr19	1222944	1223211
chr19	1226413	1226686
chr19	1226605	1226705
chr19	1227552	1228474
chr17	7590665	7590918
chr17	7579883	7579990
chr17	7579809	7579962
chr17	7579670	7579771
chr17	7579282	7579640
chr17	7578341	7578604
chr17	7578147	7578339
chr17	7577469	7577658
chr17	7576989	7577205
chr17	7576823	7576976
chr17	7573897	7574083
chr17	7572897	7573058
chr17	7571690	7572976
chr2	113584247	113584406
chr2	113894646	113894805
chr13	20802976	20803135
chr4	110684337	110684496
chr5	13764086	13764245
chr17	27072220	27072379
chr14	104179726	104179885
chr18	18584389	18584548
chr19	10980514	10980673
chr10	13142598	13142757
chr20	10623710	10623869
